Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Guyana,GUY,GNI (current US$),NY.GNP.MKTP.CD,3458017764.16465,3472497981.1138,3779697255.44455,4192111266.61413,..
Haiti,HTI,GNI (current US$),NY.GNP.MKTP.CD,8013870466.93058,8463151134.23422,9711664520.89263,8445985279.22046,..
Honduras,HND,GNI (current US$),NY.GNP.MKTP.CD,20199365872.564,21720693035.7515,22129516297.3221,23180682163.3311,..
"Hong Kong SAR, China",HKG,GNI (current US$),NY.GNP.MKTP.CD,328901356556.691,356071446902.428,378892134974.804,384938552048.903,..
Hungary,HUN,GNI (current US$),NY.GNP.MKTP.CD,124251707969.736,135831808575.246,151555573100.1,155152617177.628,..
Iceland,ISL,GNI (current US$),NY.GNP.MKTP.CD,19826589745.4317,23965940755.6076,24925636305.7046,24634234577.5015,..
India,IND,GNI (current US$),NY.GNP.MKTP.CD,2247940124045.8,2624081509582.67,2684229691550.85,2843901748439.48,..
Indonesia,IDN,GNI (current US$),NY.GNP.MKTP.CD,902045435944.66,983437954653.327,1012284301329.66,1085708861715.21,..
"Iran, Islamic Rep.",IRN,GNI (current US$),NY.GNP.MKTP.CD,419284333019.695,446174038804.276,..,..,..
Iraq,IRQ,GNI (current US$),NY.GNP.MKTP.CD,173317776033.937,194029912142.47,222472897533.756,232981434767.597,..
Ireland,IRL,GNI (current US$),NY.GNP.MKTP.CD,245118251546.712,266554828563.262,300178583076.007,299746798489.909,..
Isle of Man,IMN,GNI (current US$),NY.GNP.MKTP.CD,5851664866.3246,6156099099.0991,..,..,..
Israel,ISR,GNI (current US$),NY.GNP.MKTP.CD,316054152746.556,349685190065.893,370780427735.242,394597233553.929,..
Italy,ITA,GNI (current US$),NY.GNP.MKTP.CD,1881183316245.41,1972528055562.71,2108430360768.94,2018377389676.86,..
Jamaica,JAM,GNI (current US$),NY.GNP.MKTP.CD,13480937738.5187,14369507623.5987,14997651192.8549,15814275191.4408,..
Japan,JPN,GNI (current US$),NY.GNP.MKTP.CD,5088186818824.57,5040348134891.63,5135478831382.8,5263537827203.43,..
Jordan,JOR,GNI (current US$),NY.GNP.MKTP.CD,38891605633.8028,40502605633.8028,42031859154.9296,43429154929.5775,..
Kazakhstan,KAZ,GNI (current US$),NY.GNP.MKTP.CD,123828020084.171,148657300595.704,157278694859.5,157872041180.173,..
Kenya,KEN,GNI (current US$),NY.GNP.MKTP.CD,68178433644.2558,77456412235.0739,86329358075.292,93578038042.9454,..
Kiribati,KIR,GNI (current US$),NY.GNP.MKTP.CD,317972792.149866,358337676.272226,363559473.998805,381647549.530761,..
"Korea, Dem. People’s Rep.",PRK,GNI (current US$),NY.GNP.MKTP.CD,..,..,..,..,..
"Korea, Rep.",KOR,GNI (current US$),NY.GNP.MKTP.CD,1505595667963.37,1630520867999.51,1725081962744.21,1657552896857.83,..
Kosovo,XKX,GNI (current US$),NY.GNP.MKTP.CD,6800974540.62431,7393009150.47447,8076834553.6136,8092812360.05374,..
